# Date, Tracer1, Tracer2
1900-01,0.188,0.000
1900-02,0.188,-0.000
1900-03,0.188,0.000
1900-04,0.188,-0.000
1900-05,0.188,0.000
1900-06,0.188,-0.000
1900-07,0.188,0.000
1900-08,0.188,0.000
1900-09,0.188,0.000
1900-10,0.188,0.000
1900-11,0.188,0.000
1900-12,0.188,-0.000
1901-01,0.188,-0.000
1901-02,0.188,0.000
1901-03,0.188,0.000
1901-04,0.188,0.000
1901-05,0.188,0.000
1901-06,0.188,0.000
1901-07,0.188,0.000
1901-08,0.188,0.000
1901-09,0.188,0.000
1901-10,0.188,0.000
1901-11,0.188,0.000
1901-12,0.188,0.000
1902-01,0.188,0.000
1902-02,0.188,0.000
1902-03,0.188,0.000
1902-04,0.188,0.000
1902-05,0.188,0.000
1902-06,0.188,0.000
1902-07,0.188,0.000
1902-08,0.188,0.000
1902-09,0.188,0.000
1902-10,0.188,0.000
1902-11,0.188,0.000
1902-12,0.188,0.000
1903-01,0.188,0.000
1903-02,0.188,0.000
1903-03,0.188,0.000
1903-04,0.188,0.000
1903-05,0.188,0.000
1903-06,0.188,-0.000
1903-07,0.188,0.000
1903-08,0.188,0.000
1903-09,0.188,0.000
1903-10,0.188,0.000
1903-11,0.188,0.000
1903-12,0.188,0.000
1904-01,0.188,0.000
1904-02,0.188,0.000
1904-03,0.188,0.000
1904-04,0.188,0.000
1904-05,0.188,0.000
1904-06,0.188,0.000
1904-07,0.188,0.000
1904-08,0.188,0.000
1904-09,0.188,0.000
1904-10,0.188,0.000
1904-11,0.188,0.000
1904-12,0.188,0.000
1905-01,0.188,0.000
1905-02,0.188,0.000
1905-03,0.188,0.000
1905-04,0.188,0.000
1905-05,0.188,0.000
1905-06,0.188,0.000
1905-07,0.188,0.000
1905-08,0.188,0.000
1905-09,0.188,0.000
1905-10,0.188,0.000
1905-11,0.188,0.000
1905-12,0.188,0.000
1906-01,0.188,0.000
1906-02,0.188,0.000
1906-03,0.188,0.000
1906-04,0.188,-0.000
1906-05,0.188,0.000
1906-06,0.188,0.000
1906-07,0.188,0.000
1906-08,0.188,0.000
1906-09,0.188,0.000
1906-10,0.188,0.000
1906-11,0.188,0.000
1906-12,0.188,0.000
1907-01,0.188,0.000
1907-02,0.188,0.000
1907-03,0.188,0.000
1907-04,0.188,0.000
1907-05,0.188,0.000
1907-06,0.188,0.000
1907-07,0.188,0.000
1907-08,0.188,-0.000
1907-09,0.188,0.000
1907-10,0.188,0.000
1907-11,0.188,0.000
1907-12,0.188,0.000
1908-01,0.188,0.000
1908-02,0.188,0.000
1908-03,0.188,0.000
1908-04,0.188,-0.000
1908-05,0.188,0.000
1908-06,0.188,0.000
1908-07,0.188,0.000
1908-08,0.188,0.000
1908-09,0.188,0.000
1908-10,0.188,0.000
1908-11,0.188,0.000
1908-12,0.188,0.000
1909-01,0.188,0.000
1909-02,0.188,0.000
1909-03,0.188,0.000
1909-04,0.188,0.000
1909-05,0.188,0.000
1909-06,0.188,0.000
1909-07,0.188,0.000
1909-08,0.188,0.000
1909-09,0.188,0.000
1909-10,0.188,0.000
1909-11,0.188,0.000
1909-12,0.188,0.000
1910-01,0.188,0.000
1910-02,0.188,0.000
1910-03,0.188,0.000
1910-04,0.188,0.000
1910-05,0.188,0.000
1910-06,0.188,0.000
1910-07,0.188,0.000
1910-08,0.188,0.000
